coffee_id,Country_of_Origin,Altitude,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers
#882894,Colombia,1600.0,2021 / 2022,No informado,Washed / Wet,7.75,7.67,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.08,0.119,Green,0,0,0.0
#208327,Vietnam,1646.0,2022 / 2023,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.33,81.83,0.1119999999999999,Green,0,4,0.0
#274853,Colombia,,2022,No informado,No informado,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.67,0.124,Greenish,1,9,0.0
#829408,El Salvador,1400.0,2023,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,7.17,80.83,0.105,Bluish-Green,0,7,8.0
#181854,El Salvador,1300.0,2023,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,7.0,80.33,0.115,Bluish-Green,0,7,10.0
#322731,El Salvador,1200.0,2021 / 2022,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,7.17,82.33,0.118,Bluish-Green,0,0,0.0
#112317,El Salvador,1200.0,2022 / 2023,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,7.42,82.33,0.12,Green,0,10,7.0
#840458,El Salvador,1200.0,2022 / 2023,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,7.33,82.5,0.113,Green,0,2,0.0
#955194,Madagascar,1500.0,2022,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.83,84.25,0.121,Blue-Green,0,0,0.0
#847918,Indonesia,1350.0,2022,No informado,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,7.42,82.0,0.125,Bluish-Green,0,0,0.0
#119514,Colombia,1550.0,2022,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.0,0.133,Green,0,3,2.0
#350205,Indonesia,1200.0,2022,Catimor,No informado,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,84.83,0.119,Bluish-Green,0,2,3.0
#617945,Taiwan,1300.0,2022,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,86.08,0.103,yellow-green,0,0,0.0
#356700,Taiwan,1250.0,2022,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,83.67,0.1,Bluish-Green,0,0,0.0
#814850,Taiwan,1200.0,2021 / 2022,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,85.92,0.11,brownish,0,1,0.0
#259403,Taiwan,850.0,2017 / 2018,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,85.17,0.103,Bluish-Green,0,0,0.0
#409732,Ethiopia,1943.0,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,84.5,0.109,Green,0,9,0.0
#280845,Taiwan,1200.0,2022,Gesha,No informado,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,7.58,82.92,0.102,yellow-green,0,0,0.0
#994915,Panama,1200.0,2022 / 2023,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,84.75,0.103,Bluish-Green,0,5,1.0
#594815,Costa Rica,1500.0,2018 / 2019,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,7.5,82.0,0.105,Green,1,8,2.0
#793199,Costa Rica,1200.0,2022 / 2023,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.42,81.58,0.0969999999999999,Green,0,4,2.0
#444508,Costa Rica,1850.0,2022 / 2023,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,8.58,84.67,0.1,Green,0,2,1.0
#191702,Costa Rica,1850.0,2022 / 2023,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,7.67,83.33,0.0,Green,0,3,0.0
#820121,Costa Rica,1850.0,2022 / 2023,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.92,0.095,Green,0,2,0.0
#777610,"Tanzania, United Republic Of",1654.0,2022 / 2023,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,84.83,0.1119999999999999,Greenish,0,0,0.0
#605124,"Tanzania, United Republic Of",1550.0,2022 / 2023,Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.0,0.1159999999999999,Greenish,0,2,0.0
#170699,"Tanzania, United Republic Of",1550.0,2022 / 2023,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,8.0,86.5,0.11,Greenish,0,0,0.0
#431038,"Tanzania, United Republic Of",1550.0,2022 / 2023,Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.5,83.25,0.104,Greenish,0,8,0.0
#778301,"Tanzania, United Republic Of",1675.0,2022 / 2023,Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.0,0.098,Greenish,0,3,0.0
#346202,"Tanzania, United Republic Of",1585.0,2022 / 2023,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,85.83,0.1,Greenish,0,0,0.0
#387213,Kenya,1750.0,2022 / 2023,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,85.25,0.092,Greenish,0,1,0.0
#656708,Ethiopia,2000.0,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,7.75,83.83,0.12,Green,0,12,0.0
164,China,1100.0,2013,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.0,Green,0,2,0.0
978,Philippines,1200.0,2014,Typica,Natural / Dry,7.25,7.25,7.25,7.08,7.58,7.5,10.0,10.0,10.0,7.25,81.17,0.0,No informado,0,4,0.0
957,Philippines,1400.0,2014,Other,Washed / Wet,7.08,7.33,7.42,7.33,7.33,7.5,10.0,10.0,10.0,7.33,81.33,0.14,Green,0,3,0.0
990,United States,1707.0,2014,Pache Comun,Natural / Dry,7.42,7.17,7.33,7.42,7.25,7.33,10.0,10.0,10.0,7.17,81.08,0.0,No informado,0,0,0.0
662,Mexico,1600.0,2013,Other,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,7.58,82.5,0.0,Green,0,1,0.0
49,Kenya,1860.0,2013,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,Green,0,1,0.0
769,Mexico,1400.0,2013,Other,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,82.17,0.1,No informado,1,1,0.0
64,El Salvador,1350.0,2012,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,No informado,0,0,0.0
251,Ethiopia,1550.0,2013,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,Green,4,40,0.0
1156,Guatemala,,2012,Bourbon,Washed / Wet,7.58,7.33,7.5,7.33,7.0,7.33,9.33,9.33,9.33,7.67,79.75,0.0,Green,0,4,0.0
824,Zambia,1250.0,2014,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,81.92,0.0,No informado,1,3,0.0
48,Colombia,1200.0,2013,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,Green,1,1,0.0
237,Guatemala,1550.0,2014,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,Bluish-Green,0,10,0.0
155,Costa Rica,1575.0,2012,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,Bluish-Green,0,2,0.0
1082,El Salvador,1450.0,2013,Bourbon,Washed / Wet,7.33,7.17,7.08,7.08,7.33,7.17,10.0,10.0,10.0,7.25,80.42,0.0,Green,0,1,0.0
31,Nicaragua,,No informado,No informado,No informado,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,No informado,0,2,0.0
104,Mexico,1400.0,2010-2011,Pacamara,No informado,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.0,No informado,0,0,0.0
631,Mexico,1400.0,2010-2011,Blue Mountain,No informado,7.75,7.58,7.25,7.75,7.67,7.58,10.0,10.0,10.0,7.08,82.67,0.0,No informado,0,1,0.0
750,El Salvador,,2012,Other,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.25,0.0,Green,2,5,0.0
624,El Salvador,,2012,Other,Washed / Wet,7.92,8.0,7.5,6.75,7.92,7.58,10.0,10.0,9.33,7.67,82.67,0.0,No informado,0,17,0.0
674,Guatemala,1600.0,No informado,No informado,No informado,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10.0,10.0,7.33,82.5,0.01,No informado,1,14,0.0
646,Guatemala,,2012,No informado,Natural / Dry,7.5,7.58,7.42,7.58,7.42,7.58,10.0,10.0,10.0,7.5,82.58,0.0,Blue-Green,0,4,0.0
691,Honduras,,2012,No informado,Washed / Wet,7.25,7.67,7.42,7.17,7.75,7.5,10.0,10.0,10.0,7.67,82.42,0.09,No informado,0,2,0.0
1189,Costa Rica,,2012,Catuai,Washed / Wet,7.17,7.42,7.5,8.0,7.25,7.83,10.0,10.0,6.67,7.33,79.17,0.1,No informado,5,20,0.0
675,Honduras,1500.0,2017,Other,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.42,0.12,Green,0,6,1.0
825,Honduras,,2012,No informado,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.42,81.92,0.11,Green,0,0,0.0
549,Guatemala,,2012,No informado,Washed / Wet,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,7.75,82.92,0.1,Green,0,4,0.0
135,Costa Rica,,2012,No informado,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,0.0,Green,1,10,0.0
1178,Cote d?Ivoire,200.0,2016,No informado,Washed / Wet,7.42,7.25,6.83,7.0,7.33,7.08,9.33,10.0,10.0,7.08,79.33,0.13,Bluish-Green,1,2,0.0
91,Ethiopia,1700.0,2014,No informado,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,Green,2,7,0.0
413,Burundi,1880.0,2012,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,0.0,No informado,0,5,0.0
240,Ethiopia,1800.0,2012,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,No informado,0,15,0.0
1270,Indonesia,1067.0,2011,Other,Natural / Dry,7.33,7.0,6.5,6.08,7.58,6.33,9.33,10.0,9.33,6.67,76.17,0.12,No informado,4,26,0.0
1169,Guatemala,1326.0,2009/2010,No informado,No informado,7.08,7.0,6.83,7.33,7.25,7.0,10.0,10.0,10.0,7.08,79.58,0.17,No informado,1,19,0.0
106,Guatemala,1326.0,2009/2010,No informado,No informado,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,No informado,0,1,0.0
1024,Nicaragua,1050.0,2013,Caturra,Washed / Wet,7.33,7.08,7.25,7.0,7.5,7.42,10.0,10.0,10.0,7.33,80.92,0.1,Green,1,3,0.0
224,Guatemala,,2013,No informado,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.11,Bluish-Green,0,0,0.0
823,Nicaragua,,2013,No informado,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,7.33,81.92,0.12,Green,3,4,0.0
496,Guatemala,,No informado,No informado,No informado,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10.0,10.0,7.75,83.08,0.02,No informado,0,1,0.0
882,Indonesia,,2013,Sumatra,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,0.11,Bluish-Green,0,0,0.0
1149,Peru,,2013,No informado,Washed / Wet,7.0,7.08,7.0,7.25,7.5,7.42,9.33,10.0,10.0,7.17,79.75,0.12,Green,1,2,0.0
688,Peru,,2013,No informado,Washed / Wet,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10.0,10.0,7.5,82.42,0.0,Green,0,3,0.0
944,Peru,,2013,No informado,Washed / Wet,7.42,7.42,7.17,7.33,7.42,7.42,10.0,10.0,10.0,7.25,81.42,0.1,Bluish-Green,1,5,0.0
645,Mexico,,2014,No informado,Washed / Wet,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10.0,10.0,7.58,82.58,0.0,Green,0,11,0.0
719,Mexico,,2014,No informado,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.33,0.11,Green,0,0,0.0
61,Peru,,2013,No informado,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,Green,4,6,0.0
885,Mexico,,2014,No informado,Washed / Wet,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,7.42,81.67,0.0,Green,0,4,0.0
408,Peru,,2013,No informado,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,83.33,0.12,Green,0,5,0.0
287,Ecuador,800.0,2013,No informado,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,0.09,Bluish-Green,0,0,0.0
808,Brazil,1038.5,2012,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82.0,0.11,Blue-Green,0,0,0.0
226,Brazil,1038.5,2012,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,Green,0,3,0.0
323,Colombia,1625.0,2014/2015,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.11,No informado,0,4,0.0
835,Costa Rica,1900.0,2016,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,81.83,0.0,Green,1,4,0.0
99,Costa Rica,1900.0,2016,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,Green,1,1,1.0
418,Costa Rica,1900.0,2016,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,Green,0,0,0.0
1273,Philippines,1000.0,2012,No informado,Washed / Wet,6.83,6.5,6.5,6.92,6.75,7.0,9.33,10.0,9.33,6.67,75.83,0.12,Green,0,2,0.0
1098,Myanmar,914.0,2015,Other,Natural / Dry,8.0,7.08,7.0,7.33,7.08,6.92,10.0,10.0,10.0,6.83,80.25,0.11,Green,1,26,0.0
373,Guatemala,1402.0,2012,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.0,Green,3,12,0.0
474,Guatemala,1402.0,2012,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.0,Green,0,10,0.0
814,Guatemala,1402.0,2012,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,7.42,82.0,0.0,Green,0,10,0.0
176,Taiwan,1200.0,2012,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,Blue-Green,0,0,0.0
943,Mexico,1550.0,2014,Typica,Washed / Wet,7.67,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.33,81.42,0.0,Green,1,1,0.0
1295,Mexico,1200.0,2014,Typica,Washed / Wet,7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,8.0,6.92,72.92,0.0,No informado,1,1,0.0
1222,Mexico,1600.0,2014,Bourbon,Washed / Wet,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10.0,7.17,78.5,0.0,Green,0,0,0.0
850,Mexico,1550.0,2014,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,81.83,0.11,Green,0,0,0.0
1302,Mexico,1000.0,2014,Typica,Washed / Wet,6.92,7.0,6.83,6.92,7.42,6.92,6.0,6.0,10.0,6.75,70.75,0.12,Green,0,1,0.0
1125,Mexico,1400.0,2014,Typica,Washed / Wet,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10.0,7.42,80.0,0.0,Green,0,2,0.0
1243,Colombia,,No informado,No informado,No informado,7.42,7.17,7.0,7.17,7.67,7.17,8.67,9.33,9.33,7.08,78.0,0.1,Green,1,3,0.0
241,Costa Rica,,2017,No informado,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84.0,0.08,No informado,1,13,2.0
543,Mexico,1300.0,2015,Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,82.92,0.12,Bluish-Green,2,8,0.0
1260,Peru,1200.0,2014,Caturra,Washed / Wet,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,77.0,0.0,Green,7,9,0.0
785,Colombia,,2013,No informado,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.25,82.08,0.11,Green,1,0,0.0
1248,Brazil,,2014,No informado,Washed / Wet,7.0,6.75,6.67,6.83,7.08,6.83,10.0,10.0,10.0,6.67,77.83,0.11,No informado,0,2,0.0
863,Brazil,,2013,No informado,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,7.25,81.75,0.1,Bluish-Green,0,1,0.0
458,Colombia,,2014,No informado,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.11,Green,10,3,0.0
1194,United States (Puerto Rico),853.0,2013,Other,Washed / Wet,7.42,7.08,6.75,7.33,7.33,6.92,10.0,9.33,10.0,6.92,79.08,0.13,Green,0,0,0.0
510,United States (Puerto Rico),853.0,2013,Other,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,7.42,83.0,0.0,Bluish-Green,0,0,0.0
304,United States (Puerto Rico),853.0,2013,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,0.12,Green,0,1,0.0
993,United States (Puerto Rico),853.0,2013,Other,Washed / Wet,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10.0,10.0,8.5,81.08,0.0,Green,0,0,0.0
962,Brazil,1100.0,No informado,Catuai,Natural / Dry,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,81.33,0.11,Green,0,0,0.0
735,Brazil,1100.0,No informado,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,7.5,82.25,0.09,Green,2,10,6.0
1213,China,1850.0,2013,Typica,Washed / Wet,7.0,6.92,6.83,7.17,7.17,7.17,10.0,10.0,9.33,7.08,78.67,0.0,Green,0,5,0.0
1083,China,1700.0,2013,Other,Washed / Wet,7.25,7.08,7.25,7.17,7.33,7.17,10.0,10.0,10.0,7.17,80.42,0.17,Green,0,14,0.0
115,Kenya,,2009-2010,No informado,No informado,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,No informado,1,9,0.0
988,Brazil,695.0,2016,Mundo Novo,Natural / Dry,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10.0,9.33,7.33,81.08,0.11,Green,5,8,0.0
726,Costa Rica,,2012,No informado,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10.0,7.67,82.33,0.0,Green,0,14,0.0
564,Rwanda,1900.0,2015,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,82.83,0.11,Bluish-Green,0,0,0.0
1238,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.58,7.33,7.5,7.42,7.5,7.33,8.0,8.67,9.33,7.33,78.0,0.12,Green,2,3,0.0
1258,United States (Hawaii),,2013,No informado,Natural / Dry,7.08,6.92,6.83,6.67,7.58,7.42,8.67,9.33,10.0,6.75,77.25,0.12,Green,1,5,0.0
1132,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.5,7.0,7.0,6.92,7.33,7.17,10.0,10.0,10.0,7.0,79.92,0.11,Green,1,3,0.0
1019,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.42,7.08,7.17,7.17,7.58,7.25,10.0,10.0,10.0,7.25,80.92,0.1,Bluish-Green,2,5,0.0
1268,United States (Hawaii),,2013,No informado,Natural / Dry,7.5,7.33,7.33,7.58,7.67,7.25,8.0,8.0,8.0,7.5,76.17,0.0,Bluish-Green,0,3,0.0
406,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,Bluish-Green,0,1,0.0
92,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,Bluish-Green,2,2,0.0
1267,United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.25,7.08,6.83,7.17,7.33,6.83,8.67,8.67,9.33,7.08,76.25,0.0,Green,0,0,0.0
